   SAO	 m(phot)	 m(vis)	 dup&var	 RA(deg)	 DEC(deg)	 RAchange(deg/yr)	 DECchange(deg/yr)
   143	 99.90	 5.50		 0	 13.72023390	 83.70744664	 0.00014490	 -0.00000556
   181	 99.90	 4.50		 0	 17.18662693	 86.25709485	 0.00033054	 -0.00000361
   308	 99.90	 2.10		 4	 37.95297627	 89.26409875	 0.00084504	 -0.00000444
   344	 99.90	 6.00		 0	 32.35507004	 81.29590939	 -0.00007182	 0.00000111
   433	 99.90	 5.90		 0	 41.94821527	 81.44854598	 0.00001596	 -0.00002028
   500	 99.90	 6.00		 2	 47.92609235	 81.47064841	 -0.00010500	 -0.00000194
   550	 99.90	 5.80		 0	 53.08387287	 84.91110822	 0.00019824	 -0.00003750
   623	 99.90	 5.80		 0	 62.50681405	 86.62609470	 0.00067284	 -0.00002500
   650	 99.90	 5.30		 2	 62.51149741	 80.69858177	 -0.00002982	 -0.00000083
   685	 99.90	 5.40		 0	 67.05398635	 83.80779394	 -0.00003738	 0.00000278
   691	 99.90	 5.60		 0	 66.76093610	 80.82409854	 0.00000546	 -0.00000667
   693	 99.90	 5.70		 0	 67.50034069	 83.34050773	 -0.00013272	 0.00002917
   783	 99.90	 5.30		 0	 75.08538960	 81.19408731	 -0.00001176	 0.00000750
  1168	 99.90	 5.30		 0	 115.12828288	 87.02017292	 -0.00023268	 -0.00000778
  1179	 99.90	 5.10		 0	 112.76853187	 82.41159327	 -0.00001176	 -0.00001083
  1551	 99.90	 4.60		 0	 144.27193479	 81.32648473	 -0.00003402	 -0.00000361
  1701	 99.90	 5.60		 0	 157.42293148	 84.25222199	 -0.00035994	 -0.00000889
  1714	 99.90	 5.30		 0	 157.76899410	 82.55868247	 -0.00018102	 0.00000889
  2101	 99.90	 5.80		 2	 192.27757319	 83.41794644	 -0.00006468	 0.00000611
  2102	 99.90	 5.30		 2	 192.30655226	 83.41291014	 -0.00007224	 0.00000556
  2459	 99.90	 5.70		 0	 222.58517152	 82.51196577	 0.00037968	 -0.00006194
  2770	 99.90	 4.40		 0	 251.49227313	 82.03734054	 0.00003360	 0.00000167
  2859	 99.90	 5.90		 0	 259.90463042	 80.13651456	 0.00003024	 0.00000139
  2937	 99.90	 4.40		 0	 263.05418971	 86.58654513	 0.00004536	 0.00001583
  2940	 99.90	 5.90		 0	 262.70009365	 86.96808932	 0.00030996	 0.00000278
  3408	 99.90	 5.60		 0	 307.05998883	 81.42274854	 0.00005124	 0.00000444
  3458	 99.90	 5.70		 0	 310.64670706	 82.53124638	 0.00006048	 0.00000667
  3467	 99.90	 5.60		 0	 311.88924498	 80.55229012	 -0.00005334	 -0.00001028
  3534	 99.90	 6.00		 0	 318.33997627	 81.23088210	 -0.00000714	 -0.00000028
  3721	 99.90	 5.40		 0	 333.29452327	 86.10797222	 0.00021630	 0.00001222
  3794	 99.90	 5.00		 2	 341.87075571	 83.15392968	 0.00004830	 0.00001361
  3816	 99.90	 5.00		 0	 343.60311027	 84.34631372	 0.00025956	 0.00000778
  3916	 99.90	 5.60		 0	 351.75472583	 87.30748672	 0.00045906	 0.00000417
  4216	 99.90	 5.60		 4	 11.41265013	 74.98803773	 -0.00001974	 -0.00000722
  4226	 99.90	 5.40		 0	 11.94207937	 74.84755186	 0.00001638	 -0.00000250
  4229	 99.90	 6.00		 0	 12.03795014	 72.67488711	 0.00012264	 0.00000667
  4341	 99.90	 5.70		 0	 18.06956037	 79.67403948	 0.00014070	 -0.00000111
  4422	 99.90	 6.00		 0	 22.80735408	 70.26461380	 0.00011382	 -0.00002139
  4453	 99.90	 5.50		 0	 24.62881735	 73.04003439	 -0.00001218	 -0.00000444
  4470	 99.90	 5.30		 0	 25.73288851	 70.62261973	 0.00006510	 -0.00000361
  4554	 99.90	 4.60		 2	 30.48903178	 70.90706702	 -0.00005754	 0.00000111
  4560	 99.90	 4.10		 0	 30.85875699	 72.42135377	 -0.00004116	 0.00000639
  4562	 99.90	 5.40		 0	 31.28002379	 77.28126660	 0.00015204	 -0.00001639
  4565	 99.90	 5.30		 2	 31.38006111	 76.11513263	 -0.00002562	 -0.00000583
  4694	 99.90	 5.30		 0	 39.50828509	 72.81833459	 -0.00002982	 0.00000472
  4810	 99.90	 5.70		 0	 46.53220013	 79.41853688	 -0.00006174	 0.00000222
  4840	 99.90	 4.90		 0	 47.98459652	 74.39362933	 0.00001428	 -0.00002528
  4875	 99.90	 5.50		 0	 50.08241348	 77.73479723	 0.00007896	 -0.00001694
  5000	 99.90	 5.40		 0	 57.30767054	 70.87108641	 0.00002058	 -0.00001806
  5006	 99.90	 4.70		 0	 57.58965813	 71.33230327	 0.00001512	 -0.00001167
  5238	 99.90	 6.00		 2	 68.37782873	 72.52885673	 0.00002688	 -0.00002305
  5309	 99.90	 6.00		 0	 72.20971339	 75.94122441	 0.00003990	 -0.00003750
  5407	 99.90	 6.00		 0	 76.16603136	 74.06704842	 0.00001344	 -0.00000444
  5455	 99.90	 5.40		 0	 78.09383220	 73.94658744	 0.00000336	 -0.00000944
  5483	 99.90	 5.80		 0	 79.55541998	 73.26801781	 -0.00000504	 -0.00000917
  5496	 99.90	 5.20		 0	 80.63958314	 79.23115612	 -0.00012138	 0.00004444
  5861	 99.90	 6.00		 2	 97.06065969	 70.53561663	 0.00000168	 0.00000639
  5919	 99.90	 5.90		 0	 100.12026515	 77.99596983	 0.00001680	 0.00000000
  5946	 99.90	 5.60		 0	 101.55869053	 79.56482852	 -0.00015750	 -0.00016777
  6022	 99.90	 4.80		 0	 105.01672526	 76.97743041	 0.00008862	 -0.00000389
  6041	 99.90	 5.80		 0	 105.33981684	 70.80818651	 0.00001512	 -0.00000528
  6378	 99.90	 5.60		 0	 120.04880952	 73.91797392	 -0.00001008	 -0.00001028
  6392	 99.90	 5.30		 0	 121.19620146	 79.47974254	 -0.00004830	 -0.00001361
  6487	 99.90	 5.70		 0	 124.88422381	 75.75694908	 0.00003318	 0.00000444
  6792	 99.90	 5.90		 0	 138.96932080	 72.94620678	 -0.00008106	 -0.00001750
  6897	 99.90	 4.60		 0	 143.62041394	 69.83041935	 -0.00005082	 0.00002194
  6898	 99.90	 5.80		 0	 143.72330975	 72.20560357	 0.00006930	 -0.00002139
  6936	 99.90	 5.40		 0	 145.73836063	 72.25260388	 -0.00002310	 -0.00000778
  7009	 99.90	 6.00		 0	 149.59502859	 72.87947036	 -0.00007182	 -0.00001056
  7164	 99.90	 5.00		 0	 158.77310242	 75.71296883	 -0.00003402	 -0.00000083
  7500	 99.90	 6.00		 0	 181.31314810	 76.90568862	 0.00018228	 -0.00002583
  7522	 99.90	 5.10		 0	 183.04972364	 77.61628603	 0.00001260	 0.00000611
  7532	 99.90	 5.90		 0	 183.78552833	 70.20021390	 -0.00001932	 -0.00000583
  7540	 99.90	 5.40		 0	 184.70877452	 75.16062700	 -0.00003570	 0.00000194
  7593	 99.90	 3.90		 0	 188.37079261	 69.78825824	 -0.00004620	 0.00000333
  7600	 99.90	 5.20		 0	 188.68334635	 70.02183603	 -0.00002646	 0.00000000
  7821	 99.90	 5.90		 0	 201.73793884	 78.64374182	 -0.00019320	 0.00000806
  7854	 99.90	 5.70		 0	 204.29575227	 71.24227553	 -0.00003360	 -0.00000139
  7958	 99.90	 5.00		 0	 212.21224248	 77.54749726	 -0.00004032	 0.00000917
  8024	 99.90	 4.40		 0	 216.88142333	 75.69601901	 0.00000966	 0.00000639
  8102	 99.90	 2.20		 0	 222.67664197	 74.15550970	 -0.00003066	 0.00000333
  8207	 99.90	 5.10		 0	 229.27483604	 71.82390639	 0.00000630	 0.00000306
  8220	 99.90	 3.10		 0	 230.18227374	 71.83406208	 -0.00001596	 0.00000583
  8274	 99.90	 5.30		 0	 232.85388751	 77.34936953	 -0.00006090	 0.00000306
  8328	 99.90	 4.30		 0	 236.01473866	 77.79452238	 0.00002688	 0.00000000
  8417	 99.90	 5.60		 0	 240.88049853	 76.79371372	 -0.00002562	 0.00000444
  8446	 99.90	 5.50		 0	 242.70649505	 75.87759398	 -0.00000042	 0.00000389
  8462	 99.90	 6.00		 0	 243.63897446	 73.39481227	 -0.00001428	 0.00000917
  8470	 99.90	 5.00		 0	 244.37662465	 75.75522964	 -0.00009408	 0.00006944
  8527	 99.90	 5.50		 0	 246.42979673	 78.96399211	 -0.00016674	 0.00003083
  8612	 99.90	 6.00		 2	 250.77504775	 77.51407491	 0.00006216	 0.00005889
  8862	 99.90	 6.00		 0	 264.28690713	 72.45597017	 0.00001932	 0.00000611
  8890	 99.90	 4.90		 0	 265.48494913	 72.14889505	 0.00002352	 -0.00007416
  8939	 99.90	 5.00		 0	 267.36258750	 76.96285780	 0.00004494	 0.00006861
  8961	 99.90	 5.50		 0	 268.79645042	 72.00528141	 0.00000672	 0.00000083
  8996	 99.90	 5.80		 2	 270.03840507	 80.00407302	 0.00006846	 0.00003389
  9084	 99.90	 4.20		 1	 275.18948599	 71.33792571	 -0.00000378	 0.00001111
  9087	 99.90	 3.70		 0	 275.26422779	 72.73292030	 0.00050232	 -0.00009694
  9151	 99.90	 5.80		 0	 277.43733258	 77.54707786	 -0.00000084	 0.00000028
  9241	 99.90	 5.40		 0	 281.44486725	 74.08545413	 0.00000462	 0.00002139
  9250	 99.90	 5.40		 0	 281.59250077	 75.43402995	 -0.00001806	 0.00002055
  9283	 99.90	 4.90		 0	 283.59952222	 71.29722850	 0.00004326	 0.00001222
  9341	 99.90	 5.10		 0	 287.29124875	 76.56047741	 0.00006174	 -0.00003389
  9366	 99.90	 4.60		 0	 288.88762834	 73.35547641	 -0.00013692	 0.00002944
  9404	 99.90	 5.80		 4	 290.39779150	 76.55963001	 -0.00001050	 0.00000000
  9414	 99.90	 6.00		 0	 290.41740787	 79.60275090	 0.00001932	 -0.00000972
  9540	 99.90	 4.00		 0	 297.04339384	 70.26788367	 0.00006762	 0.00001028
  9665	 99.90	 4.40		 0	 302.22240818	 77.71141654	 0.00001554	 0.00000667
