LAT.  = +65   LONG. = -147    Year  = 2008   Month = 3   Day = 26   HOUR  = 9 (UT)

CONDUCTIVITY PROFILE (IRI2016)
    HEIGHT      S0            S1            S2
      80.0   9.02226E-08   1.78479E-09   1.25026E-08
      81.0   4.36592E-07   6.35228E-09   5.19354E-08
      82.0   1.48407E-06   1.58383E-08   1.51140E-07
      83.0   3.73709E-06   2.91980E-08   3.25069E-07
      84.0   7.35177E-06   4.20084E-08   5.45065E-07
      85.0   1.19152E-05   4.97969E-08   7.51555E-07
      86.0   1.67777E-05   5.13588E-08   8.98782E-07
      87.0   2.16444E-05   4.86849E-08   9.83230E-07
      88.0   2.69770E-05   4.48285E-08   1.03770E-06
      89.0   3.42465E-05   4.23864E-08   1.11403E-06
      90.0   4.66666E-05   4.35139E-08   1.28223E-06
      91.0   7.19366E-05   5.13057E-08   1.66759E-06
      92.0   1.32203E-04   7.35174E-08   2.58277E-06
      93.0   1.85953E-04   8.25377E-08   3.05838E-06
      94.0   2.41772E-04   8.80089E-08   3.34457E-06
      95.0   3.08440E-04   9.48506E-08   3.58616E-06
      96.0   3.87342E-04   1.03755E-07   3.78321E-06
      97.0   4.80132E-04   1.15421E-07   3.93861E-06
      98.0   5.88774E-04   1.30577E-07   4.05706E-06
      99.0   7.15558E-04   1.50021E-07   4.14408E-06
     100.0   8.63087E-04   1.74673E-07   4.20537E-06
     101.0   1.03420E-03   2.05593E-07   4.24621E-06
     102.0   1.23181E-03   2.43902E-07   4.27114E-06
     103.0   1.45894E-03   2.90826E-07   4.28378E-06
     104.0   1.71868E-03   3.47711E-07   4.28669E-06
     105.0   2.01406E-03   4.15987E-07   4.28134E-06
     106.0   2.34799E-03   4.97081E-07   4.26811E-06
     107.0   2.72310E-03   5.92278E-07   4.24628E-06
     108.0   3.14165E-03   7.02516E-07   4.21407E-06
     109.0   3.60539E-03   8.28090E-07   4.16881E-06
     110.0   4.11554E-03   9.68297E-07   4.10711E-06
     111.0   4.63055E-03   1.11104E-06   3.98864E-06
     112.0   5.09854E-03   1.23996E-06   3.78515E-06
     113.0   5.50841E-03   1.34735E-06   3.51336E-06
     114.0   5.85413E-03   1.42657E-06   3.19196E-06
     115.0   6.13436E-03   1.47279E-06   2.84020E-06
     116.0   6.35175E-03   1.48368E-06   2.47670E-06
     117.0   6.51202E-03   1.45982E-06   2.11835E-06
     118.0   6.62301E-03   1.40467E-06   1.77926E-06
     119.0   6.69375E-03   1.32409E-06   1.46998E-06
     120.0   6.73379E-03   1.22540E-06   1.19709E-06
     121.0   6.75259E-03   1.11629E-06   9.63334E-07
     122.0   6.75921E-03   1.00383E-06   7.68185E-07
     123.0   6.76207E-03   8.93736E-07   6.08771E-07
     124.0   6.77124E-03   7.90589E-07   4.81718E-07
     125.0   6.78639E-03   6.96594E-07   3.81165E-07
     126.0   6.81499E-03   6.13061E-07   3.02544E-07
     127.0   6.86248E-03   5.40036E-07   2.41306E-07
     128.0   6.93378E-03   4.76948E-07   1.93663E-07
     129.0   7.03339E-03   4.22896E-07   1.56565E-07
     130.0   7.16562E-03   3.76850E-07   1.27602E-07
     131.0   7.33474E-03   3.37773E-07   1.04904E-07
     132.0   7.54508E-03   3.04689E-07   8.70299E-08
     133.0   7.80122E-03   2.76721E-07   7.28756E-08
     134.0   8.10809E-03   2.53098E-07   6.15990E-08
     135.0   8.47107E-03   2.33160E-07   5.25573E-08
     136.0   8.89611E-03   2.16341E-07   4.52593E-08
     137.0   9.38981E-03   2.02168E-07   3.93287E-08
     138.0   9.95562E-03   1.90240E-07   3.44761E-08
     139.0   1.05693E-02   1.80222E-07   3.04781E-08
     140.0   1.12688E-02   1.71834E-07   2.71617E-08
     141.0   1.20627E-02   1.64839E-07   2.43917E-08
     142.0   1.29602E-02   1.59038E-07   2.20621E-08
     143.0   1.39714E-02   1.54260E-07   2.00892E-08
     144.0   1.51068E-02   1.50360E-07   1.84066E-08
     145.0   1.63776E-02   1.47212E-07   1.69613E-08
     146.0   1.77954E-02   1.44707E-07   1.57105E-08
     147.0   1.93721E-02   1.42746E-07   1.46197E-08
     148.0   2.11197E-02   1.41242E-07   1.36610E-08
     149.0   2.30501E-02   1.40117E-07   1.28114E-08
     150.0   2.51750E-02   1.39298E-07   1.20522E-08
     151.0   2.75055E-02   1.38720E-07   1.13679E-08
     152.0   3.00521E-02   1.38320E-07   1.07458E-08
     153.0   3.28243E-02   1.38044E-07   1.01754E-08
     154.0   3.58307E-02   1.37841E-07   9.64829E-09
     155.0   3.90787E-02   1.37664E-07   9.15743E-09
     156.0   4.25747E-02   1.37461E-07   8.69563E-09
     157.0   4.63244E-02   1.37211E-07   8.26016E-09
     158.0   5.03328E-02   1.36887E-07   7.84771E-09
     159.0   5.46053E-02   1.36471E-07   7.45576E-09
     160.0   5.91481E-02   1.35953E-07   7.08255E-09
     161.0   6.39768E-02   1.35314E-07   6.72515E-09
     162.0   6.90896E-02   1.34600E-07   6.38679E-09
     163.0   7.45116E-02   1.33810E-07   6.06535E-09
     164.0   8.02690E-02   1.32974E-07   5.76108E-09
     165.0   8.63994E-02   1.32130E-07   5.47453E-09
     166.0   9.29560E-02   1.31330E-07   5.20646E-09
     167.0   1.00011E-01   1.30635E-07   4.95784E-09
     168.0   1.07665E-01   1.30117E-07   4.72980E-09
     169.0   1.16048E-01   1.29864E-07   4.52361E-09
     170.0   1.25335E-01   1.29977E-07   4.34071E-09
     171.0   1.35759E-01   1.30574E-07   4.18275E-09
     172.0   1.47622E-01   1.31798E-07   4.05168E-09
     173.0   1.59551E-01   1.32316E-07   3.90512E-09
     174.0   1.67528E-01   1.29067E-07   3.65768E-09
     175.0   1.75866E-01   1.25958E-07   3.42896E-09
     176.0   1.84581E-01   1.22983E-07   3.21733E-09
     177.0   1.93687E-01   1.20136E-07   3.02134E-09
     178.0   2.03201E-01   1.17409E-07   2.83967E-09
     179.0   2.13140E-01   1.14797E-07   2.67113E-09
     180.0   2.23522E-01   1.12295E-07   2.51465E-09
     181.0   2.34367E-01   1.09897E-07   2.36924E-09
     182.0   2.45694E-01   1.07599E-07   2.23402E-09
     183.0   2.57524E-01   1.05397E-07   2.10818E-09
     184.0   2.69881E-01   1.03286E-07   1.99098E-09
     185.0   2.82786E-01   1.01263E-07   1.88176E-09
     186.0   2.96265E-01   9.93240E-08   1.77991E-09
     187.0   3.10344E-01   9.74659E-08   1.68487E-09
     188.0   3.25050E-01   9.56857E-08   1.59613E-09
     189.0   3.40412E-01   9.39806E-08   1.51323E-09
     190.0   3.56460E-01   9.23480E-08   1.43574E-09
     191.0   3.73226E-01   9.07853E-08   1.36327E-09
     192.0   3.90745E-01   8.92906E-08   1.29546E-09
     193.0   4.09051E-01   8.78617E-08   1.23198E-09
     194.0   4.28181E-01   8.64968E-08   1.17254E-09
     195.0   4.48177E-01   8.51941E-08   1.11685E-09
     196.0   4.69080E-01   8.39522E-08   1.06465E-09
     197.0   4.90935E-01   8.27698E-08   1.01573E-09
     198.0   5.13790E-01   8.16456E-08   9.69850E-10
     199.0   5.37694E-01   8.05787E-08   9.26822E-10
     200.0   5.62700E-01   7.95680E-08   8.86460E-10
     201.0   5.88866E-01   7.86154E-08   8.48647E-10
     202.0   6.16254E-01   7.77183E-08   8.13181E-10
     203.0   6.44925E-01   7.68761E-08   7.79916E-10
     204.0   6.74951E-01   7.60889E-08   7.48722E-10
     205.0   7.06407E-01   7.53565E-08   7.19476E-10
     206.0   7.39370E-01   7.46793E-08   6.92067E-10
     207.0   7.73928E-01   7.40575E-08   6.66390E-10
     208.0   8.10172E-01   7.34918E-08   6.42353E-10
     209.0   8.48204E-01   7.29831E-08   6.19869E-10
     210.0   8.88131E-01   7.25325E-08   5.98859E-10
     211.0   9.30071E-01   7.21414E-08   5.79251E-10
     212.0   9.74156E-01   7.18116E-08   5.60981E-10
     213.0   1.02053E+00   7.15452E-08   5.43991E-10
     214.0   1.06934E+00   7.13449E-08   5.28229E-10
     215.0   1.12077E+00   7.12135E-08   5.13650E-10
     216.0   1.17501E+00   7.11550E-08   5.00218E-10
     217.0   1.23227E+00   7.11736E-08   4.87900E-10
     218.0   1.29281E+00   7.12747E-08   4.76674E-10
     219.0   1.35690E+00   7.14645E-08   4.66525E-10
     220.0   1.42487E+00   7.17509E-08   4.57447E-10
     221.0   1.49709E+00   7.21432E-08   4.49447E-10
     222.0   1.57401E+00   7.26532E-08   4.42544E-10
     223.0   1.65617E+00   7.32955E-08   4.36776E-10
     224.0   1.74421E+00   7.40891E-08   4.32202E-10
     225.0   1.83896E+00   7.50584E-08   4.28914E-10
     226.0   1.94148E+00   7.62367E-08   4.27051E-10
     227.0   2.05317E+00   7.76704E-08   4.26822E-10
     228.0   2.17601E+00   7.94271E-08   4.28549E-10
     229.0   2.31295E+00   8.16125E-08   4.32758E-10
     230.0   2.46883E+00   8.44071E-08   4.40381E-10
     231.0   2.64204E+00   8.77017E-08   4.50638E-10
     232.0   2.82387E+00   9.10954E-08   4.61147E-10
     233.0   3.01439E+00   9.45821E-08   4.71842E-10
     234.0   3.21366E+00   9.81557E-08   4.82657E-10
     235.0   3.42171E+00   1.01809E-07   4.93522E-10
     236.0   3.63855E+00   1.05534E-07   5.04356E-10
     237.0   3.86415E+00   1.09321E-07   5.15074E-10
     238.0   4.09843E+00   1.13158E-07   5.25589E-10
     239.0   4.34131E+00   1.17036E-07   5.35808E-10
     240.0   4.59263E+00   1.20941E-07   5.45641E-10
     241.0   4.85224E+00   1.24861E-07   5.54996E-10
     242.0   5.11992E+00   1.28782E-07   5.63788E-10
     243.0   5.39543E+00   1.32692E-07   5.71938E-10
     244.0   5.67850E+00   1.36577E-07   5.79372E-10
     245.0   5.96883E+00   1.40425E-07   5.86027E-10
     246.0   6.26608E+00   1.44223E-07   5.91851E-10
     247.0   6.56990E+00   1.47960E-07   5.96802E-10
     248.0   6.87989E+00   1.51621E-07   6.00811E-10
     249.0   7.19566E+00   1.55208E-07   6.03961E-10
     250.0   7.51678E+00   1.58706E-07   6.06185E-10
     251.0   7.84281E+00   1.62106E-07   6.07490E-10
     252.0   8.17331E+00   1.65403E-07   6.07893E-10
     253.0   8.50780E+00   1.68592E-07   6.07418E-10
     254.0   8.84583E+00   1.71667E-07   6.06101E-10
     255.0   9.18693E+00   1.74627E-07   6.03979E-10
     256.0   9.53062E+00   1.77468E-07   6.01098E-10
     257.0   9.87646E+00   1.80190E-07   5.97506E-10
     258.0   1.02240E+01   1.82791E-07   5.93255E-10
     259.0   1.05727E+01   1.85271E-07   5.88395E-10
     260.0   1.09222E+01   1.87630E-07   5.82979E-10
     261.0   1.12722E+01   1.89868E-07   5.77057E-10
     262.0   1.16220E+01   1.91988E-07   5.70679E-10
     263.0   1.19715E+01   1.93988E-07   5.63890E-10
     264.0   1.23201E+01   1.95871E-07   5.56738E-10
     265.0   1.26676E+01   1.97637E-07   5.49263E-10
     266.0   1.30136E+01   1.99288E-07   5.41504E-10
     267.0   1.33579E+01   2.00825E-07   5.33496E-10
     268.0   1.37000E+01   2.02249E-07   5.25278E-10
     269.0   1.40398E+01   2.03562E-07   5.16884E-10
     270.0   1.43770E+01   2.04765E-07   5.08339E-10
     271.0   1.47114E+01   2.05858E-07   4.99666E-10
     272.0   1.50428E+01   2.06842E-07   4.90885E-10
     273.0   1.53710E+01   2.07717E-07   4.82018E-10
     274.0   1.56958E+01   2.08484E-07   4.73080E-10
     275.0   1.60171E+01   2.09143E-07   4.64089E-10
     276.0   1.63349E+01   2.09695E-07   4.55059E-10
     277.0   1.66489E+01   2.10139E-07   4.46003E-10
     278.0   1.69590E+01   2.10478E-07   4.36933E-10
     279.0   1.72653E+01   2.10710E-07   4.27861E-10
     280.0   1.75677E+01   2.10838E-07   4.18798E-10
     281.0   1.78661E+01   2.10860E-07   4.09752E-10
     282.0   1.81604E+01   2.10779E-07   4.00733E-10
     283.0   1.84508E+01   2.10595E-07   3.91749E-10
     284.0   1.87371E+01   2.10309E-07   3.82809E-10
     285.0   1.90193E+01   2.09922E-07   3.73919E-10
     286.0   1.92976E+01   2.09435E-07   3.65085E-10
     287.0   1.95718E+01   2.08849E-07   3.56316E-10
     288.0   1.98421E+01   2.08166E-07   3.47616E-10
     289.0   2.01084E+01   2.07387E-07   3.38992E-10
     290.0   2.03709E+01   2.06515E-07   3.30449E-10
     291.0   2.06295E+01   2.05549E-07   3.21992E-10
     292.0   2.08843E+01   2.04494E-07   3.13626E-10
     293.0   2.11353E+01   2.03349E-07   3.05356E-10
     294.0   2.13827E+01   2.02119E-07   2.97187E-10
     295.0   2.16264E+01   2.00804E-07   2.89121E-10
     296.0   2.18666E+01   1.99407E-07   2.81165E-10
     297.0   2.21033E+01   1.97930E-07   2.73320E-10
     298.0   2.23366E+01   1.96377E-07   2.65590E-10
     299.0   2.25665E+01   1.94749E-07   2.57979E-10
     300.0   2.27932E+01   1.93049E-07   2.50489E-10

HEIGHT INTEGRATED ( 80 - 300 km) CONDUCTIVITY (IRI2016)
 S0= 9.273E+05S S1= 5.111E-02S S2= 1.155E-01S SXX= 5.366E-02S SYY= 5.193E-02S SXY= 1.183E-01S
